Iterazione,Tempo1,Tempo2,Tempo3,Tempo4,Tempo5
1,228.97,129.26,101.21,91.63,90.97
2,42.14,24.97,26.32,9.27,5.78
3,31.76,24.99,25.92,10.07,5.89
4,28.33,25.50,26.26,10.14,5.88
5,29.47,24.89,25.57,10.10,5.81
6,32.03,24.90,24.97,9.77,5.88
7,27.60,24.89,24.90,9.91,5.90
8,26.68,24.28,24.76,8.87,5.96
9,27.49,24.45,25.28,8.85,5.81
10,27.29,24.84,25.07,8.82,5.78
11,45.32,41.07,40.18,22.58,30.12
12,27.28,25.78,25.94,6.13,5.89
13,27.17,25.56,26.11,6.41,5.78
14,29.33,24.55,26.15,6.37,5.78
15,26.42,24.65,26.01,6.22,5.71
16,26.33,23.96,26.00,6.09,5.69
17,25.56,23.52,37.64,6.32,5.79
18,24.78,24.05,24.94,6.16,5.72
19,25.99,24.34,27.15,6.11,5.69
20,24.27,24.82,29.99,6.06,5.98
21,24.24,24.60,29.79,6.22,6.13
22,25.90,24.47,29.83,6.22,5.76
23,25.96,24.68,29.66,6.15,5.80
24,24.89,25.18,24.77,6.24,6.04
25,25.48,24.79,24.97,5.96,5.97
26,24.14,25.24,25.81,5.48,5.10
27,24.00,24.57,24.99,5.41,5.08
28,24.32,24.56,24.80,5.09,4.96
29,23.95,24.60,24.80,5.20,5.08
30,23.88,24.84,25.07,5.28,4.69
31,23.96,24.53,28.32,5.49,4.71
